selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
roulette,3,6,0.1893859579017829,0.1972125857647265,0.006391925947832952,0.0018490344415155457,0.05172571255085656,5.28019464000581,5.070644581215557
roulette,3,7,0.1847016159077655,0.1944466813144518,0.004386325021380538,0.004684341994017405,0.07518067782789495,5.414108485065353,5.142771532373514
roulette,3,8,0.1833130653603269,0.19140903114457133,0.004400723955231577,0.0013885505474385829,0.08213328823020527,5.4551187768073,5.224386590505821
roulette,3,9,0.18283260806487447,0.18960499510007336,0.00374174061842129,0.00048045729545243,0.08453898559310669,5.469453950967111,5.274094837941193
roulette,3,10,0.18206705845264085,0.1865987965783787,0.003560196996827582,0.0007655496122336292,0.08837216848106033,5.492451605728074,5.359062648173701
roulette,3,11,0.18037099775212637,0.18456601505606224,0.0032721722848991905,0.001696060700514479,0.09686451273968244,5.544097822624527,5.418086214897337
roulette,3,12,0.18037099775212637,0.18310389385784695,0.0015839752281750605,0.0,0.09686451273968244,5.544097822624527,5.461350480213531
roulette,3,13,0.17966129379417095,0.18253549914384956,0.0013525258385470478,0.0007097039579554154,0.10041807089407861,5.565998178480589,5.478356409212937
roulette,3,14,0.1670674401583604,0.18127818808905433,0.003981047333996109,0.012593853635810559,0.16347674596718254,5.98557093758775,5.516353038324206
roulette,3,15,0.1670674401583604,0.17964767608611895,0.004932268606452673,0.0,0.16347674596718254,5.98557093758775,5.5664200916272035
roulette,3,16,0.1670674401583604,0.17802180061395775,0.0048210935122048005,0.0,0.16347674596718254,5.98557093758775,5.617257994769439
roulette,3,17,0.16609852603063388,0.17388094513938476,0.006135111352671862,0.0009689141277265112,0.16832819516779207,6.020486776196876,5.75102837271802
roulette,3,18,0.16608458067622794,0.16902008003054475,0.004031476387519961,1.3945354405936472e-05,0.16839802094135525,6.020992285594191,5.916421784899756
roulette,3,19,0.1657178988364598,0.16707043938391455,0.0008742038579697307,0.0003666818397681515,0.1702340333056247,6.034314776535252,5.985463486084497
roulette,4,0,0.19231522535598297,0.24203153906703534,0.016081292177867607,0.0,0.0,5.199769276611844,4.1316758641408615
roulette,4,1,0.19231522535598297,0.22969733760082978,0.019388449278669125,0.0,0.0,5.199769276611844,4.353536078862712
roulette,4,2,0.19021235445222207,0.21685164015915273,0.01944689849638136,0.002102870903760906,0.01093450037493604,5.25725442821724,4.611426447315001
roulette,4,3,0.1897899529219201,0.2059450502164719,0.016659736748595808,0.00042240153030195793,0.013130902295377167,5.268955050831108,4.855640586206389
roulette,4,4,0.1895774544192415,0.1968550737194611,0.008051549212651679,0.0002124985026785986,0.014235851226410912,5.274861022912231,5.079853423395493
roulette,4,5,0.18366456896069303,0.19281409482653789,0.004678153151722314,0.005912885458548484,0.04498165124096254,5.444678638781849,5.186315941185151
roulette,4,6,0.18343219310221892,0.18954326370369476,0.002948659048224816,0.00023237585847410425,0.046189958373400786,5.451576037509993,5.275812522415613
roulette,4,7,0.1828534146699559,0.1863358227924937,0.0032054791980673752,0.0005787784322630329,0.04919948833230914,5.468831593729665,5.366625796306556
roulette,4,8,0.18265757990290957,0.18430129489818356,0.0020213781445674347,0.0001958347670463212,0.05021778923221876,5.474694922798264,5.425868411201513
roulette,4,9,0.18265757990290957,0.18340359767213454,0.0004893451237777855,0.0,0.05021778923221876,5.474694922798264,5.452426017081983
tournament,0,0,0.2086821022212524,0.22161840218847512,0.008688024970293248,0.0,0.0,4.791954831780143,4.512240309851369
tournament,0,1,0.20662316398681624,0.2127601727940435,0.004362289161416723,0.002058938234436175,0.009866386300120822,4.839705002091651,4.700105695356442
tournament,0,2,0.20620706120439802,0.20796115152060551,0.0009729028022255923,0.0004161027824182151,0.01186034159379068,4.849470938038536,4.808567293077448
tournament,1,0,0.20492451603387016,0.23440625985062907,0.014115701575024979,0.0,0.0,4.879821797470647,4.26607947483038
tournament,1,1,0.20145333565319506,0.21829026614522104,0.007504201720892553,0.003471180380675093,0.01693882434301508,4.963904086539524,4.581035318814529
tournament,1,2,0.20123066255815786,0.20844988375718196,0.005639548528624508,0.0002226730950372069,0.018025434668352602,4.969396899511231,4.797293165544308
tournament,1,3,0.1957158704275957,0.2024858167574613,0.002222458420873695,0.005514792130562163,0.04493676883810449,5.109421573190054,4.938593119362432
tournament,1,4,0.19463906373740372,0.19923169790074946,0.002487943754926086,0.0010768066901919726,0.05019141923832304,5.137688412130495,5.01925642997699
tournament,1,5,0.19138631478180065,0.19614694363807167,0.0020863746678945003,0.0032527489556030686,0.06606433195056027,5.225006689393668,5.0981926267102775
tournament,1,6,0.19096041154065216,0.19424512880712863,0.001418458513406486,0.0004259032411484953,0.06814267401226892,5.236660076672708,5.148107744236811
tournament,1,7,0.19081876045689575,0.19232062670630315,0.0015567452213151281,0.0001416510837564111,0.06883390943152445,5.240547402457776,5.199623241161084
tournament,1,8,0.19027976529965845,0.19099011006389685,0.00041221878310966967,0.0005389951572372931,0.07146412258351365,5.255391938460923,5.235845792327433
tournament,2,0,0.20952162549536374,0.2268735514006492,0.01303546138342949,0.0,0.0,4.772754243775585,4.407722214000325
tournament,2,1,0.17858011908864146,0.21372812416779238,0.01139317178547683,0.030941506406722274,0.1476769108370961,5.599696121870727,4.678819528661568
tournament,2,2,0.17858011908864146,0.2068243182546298,0.011985772069983696,0.0,0.1476769108370961,5.599696121870727,4.83499799946574
tournament,2,3,0.17829225240154478,0.1935231639142255,0.00844551288542798,0.00028786668709668284,0.14905083434697763,5.608737215404209,5.1673133720046645
tournament,2,4,0.16500831642636754,0.18236375554166614,0.008247246717222519,0.013283935975177241,0.21245209874520177,6.060263878774579,5.483515699235662
tournament,2,5,0.16390747807498227,0.1751737946524906,0.005464085652245589,0.0011008383513852749,0.2177061547348048,6.100965683681937,5.708583828990846
tournament,2,6,0.16254491846123012,0.168356589187423,0.005920200994750848,0.0013625596137521456,0.22420934795188052,6.15210772110846,5.93973817768771
tournament,2,7,0.16116355899023596,0.16340515529942676,0.0008268830057676066,0.001381359470994159,0.23080226869563802,6.204838124867045,6.119720509717593
tournament,3,0,0.2124362732994613,0.22358847308093238,0.010756213048682328,0.0,0.0,4.7072718665069395,4.472482475228301
tournament,3,1,0.20729694936585086,0.21583984270985393,0.005763079199753541,0.00513932393361044,0.024192308845324972,4.823974395593971,4.633043438142332
tournament,3,2,0.20266606540977483,0.2104853949945157,0.0032870310104771974,0.004630883956076026,0.04599124122232112,4.934200818362316,4.750900883765221
tournament,3,3,0.20240242737687972,0.20609464135461436,0.0020185654647704543,0.0002636380328951138,0.047232262959336246,4.940627799439273,4.852116199193994
tournament,3,4,0.20098045415903154,0.20338544448116716,0.0014103035828464214,0.001421973217848177,0.053925908991451,4.975583464575419,4.916748520536708
tournament,3,5,0.19987508625445585,0.20149728479857948,0.0007355311861101907,0.0011053679045756881,0.059129200724108655,5.003099764155538,4.962821400686433
tournament,4,0,0.20469416926297343,0.23053724832347547,0.010414932974463175,0.0,0.0,4.885313139536246,4.337675016064443
tournament,4,1,0.20317609474921114,0.21765515479168085,0.010645103709175176,0.0015180745137622909,0.007416305599853179,4.921814642710274,4.59440258400734
tournament,4,2,0.20201367615212384,0.20812311177093043,0.004869343894529136,0.0011624185970872947,0.013095112188593494,4.950135401286223,4.804825310681154
tournament,4,3,0.19974218889143794,0.20281640770959955,0.001183687843199282,0.002271487260685906,0.02419209296173752,5.006428532306592,4.930543247213928
